t_sensor,accel_mag,label_true
0.0,10.087724913456059,tap
0.005,10.212770291307283,tap
0.01,10.38483246221819,tap
0.015,10.617358478299202,tap
0.02,10.925919334950883,tap
0.025,11.327890567972743,tap
0.03,11.841839457518784,tap
0.035,12.486576035345669,tap
0.04,13.279852775324397,tap
0.045,14.236737595028135,tap
0.05,15.367734260065156,tap
0.055,16.676778576905498,tap
0.06,18.159290606536267,tap
0.065,19.800503562808473,tap
0.07,21.574309682969627,tap
0.075,23.442854051980664,tap
0.08,25.357064133564002,tap
0.085,27.2582253846656,tap
0.09,29.080607359399806,tap
0.095,30.755021504120357,tap
0.1,32.213067437057404,tap
0.105,33.39171734329004,tap
0.11,34.237816026011984,tap
0.115,34.71205105905702,tap
0.12,34.791980539762505,tap
0.125,34.47379374591431,tap
0.13,33.77261233203351,tap
0.135,32.721298912174,tap
0.14,31.36790375537599,tap
0.145,29.77202585384967,tap
0.15,28.00047193074193,tap
0.155,26.122652582835826,tap
0.16,24.206153712685072,tap
0.165,22.31286756543686,tap
0.17,20.495972559337325,tap
0.175,18.79793133613613,tap
0.18,17.249550651590273,tap
0.185,15.870032199062452,tap
0.19,14.66785364209381,tap
0.195,13.642261960976596,tap
0.2,12.7851387073618,tap
0.205,12.083005653358377,tap
0.21,11.518972527191611,tap
0.215,11.074476941885038,tap
0.22,10.730720928503649,tap
0.225,10.469760610607667,tap
0.23,10.275249612068801,tap
0.235,10.132869427468881,tap
0.24,10.030500254571153,tap
0.245,9.958194653122105,tap
0.25,9.908016060137351,tap
0.255,9.873797434743134,tap
0.26,9.850864901724659,tap
0.265,9.835759591345525,tap
0.27,9.825979704608244,tap
0.275,9.81975528119834,tap
0.28,9.815860735286112,tap
0.285,9.813465019531314,tap
0.29,9.81201604645752,tap
0.295,9.81115434772721,tap
0.3,9.810650450177292,tap
0.305,9.810360688826052,tap
0.31,9.810196830596194,tap
0.315,9.810105704577646,tap
0.32,9.810055864542997,tap
0.325,9.810029054939344,tap
0.33,9.810014871164018,tap
0.335,9.810007490507132,tap
0.34,9.810003712946981,tap
0.345,9.810001811204721,tap
0.35,9.810000869476008,tap
0.355,9.810000410760745,tap
0.36,9.81000019096841,tap
0.365,9.810000087372627,tap
0.37,9.810000039339654,tap
0.375,9.810000017431186,tap
0.38,9.810000007600893,tap
0.385,9.810000003261697,tap
0.39,9.810000001377412,tap
0.395,9.810000000572435,tap
0.4,9.945520527247771,idle
0.405,9.824101844664131,idle
0.41000000000000003,9.69847511259693,idle
0.41500000000000004,9.671741193561237,idle
0.42000000000000004,9.7413411261499,idle
0.42500000000000004,9.843029268520509,idle
